return_id,product_id,claim_id,claim_date,claim_qty,status
R00064,P0088,C00064,2025-04-30,6,Approved
R00065,P0041,C00065,2025-04-19,6,Approved
R00066,P0401,C00066,2025-03-19,7,Submitted
R00067,P0076,C00067,2025-04-03,6,Submitted
R00068,P0377,C00068,2025-04-13,5,Rejected
R00069,P0046,C00069,2025-02-26,8,Approved
R00070,P0160,C00070,2025-02-18,4,Approved
R00071,P0463,C00071,2025-04-07,4,Submitted
R00072,P0080,C00072,2025-03-13,8,Submitted
R00073,P0310,C00073,2025-02-10,7,Approved
R00074,P0086,C00074,2025-03-18,4,Submitted
R00075,P0092,C00075,2025-02-19,1,Approved
R00076,P0148,C00076,2025-05-01,1,Approved
R00077,P0161,C00077,2025-03-06,1,Submitted
R00078,P0202,C00078,2025-04-23,4,Approved
R00079,P0424,C00079,2025-04-23,6,Submitted
R00080,P0416,C00080,2025-02-22,0,Approved
R00081,P0242,C00081,2025-04-11,2,Rejected
R00082,P0353,C00082,2025-03-17,2,Rejected
R00083,P0002,C00083,2025-03-03,5,Approved
R00084,P0225,C00084,2025-02-08,7,Submitted
R00085,P0289,C00085,2025-04-21,2,Approved
R00086,P0233,C00086,2025-03-10,4,Approved
R00087,P0461,C00087,2025-03-28,9,Submitted
R00088,P0414,C00088,2025-04-06,6,Submitted
R00089,P0417,C00089,2025-04-21,8,Submitted
R00090,P0077,C00090,2025-03-10,0,Submitted
R00091,P0116,C00091,2025-02-08,9,Rejected
R00092,P0154,C00092,2025-04-26,6,Submitted
R00093,P0406,C00093,2025-03-06,9,Submitted
R00094,P0103,C00094,2025-03-29,5,Submitted
R00095,P0194,C00095,2025-05-06,5,Approved
R00096,P0166,C00096,2025-02-07,8,Rejected
R00097,P0359,C00097,2025-04-05,2,Submitted
R00098,P0090,C00098,2025-03-05,3,Approved
R00099,P0174,C00099,2025-04-18,8,Submitted
R00100,P0122,C00100,2025-03-13,4,Submitted
R00101,P0498,C00101,2025-05-10,5,Approved
R00102,P0143,C00102,2025-02-14,10,Submitted
R00103,P0482,C00103,2025-04-30,3,Submitted
R00104,P0106,C00104,2025-02-25,3,Submitted
R00105,P0375,C00105,2025-02-12,8,Submitted
R00106,P0428,C00106,2025-03-22,3,Submitted
R00107,P0305,C00107,2025-03-29,7,Submitted
R00108,P0360,C00108,2025-04-16,4,Approved
R00109,P0459,C00109,2025-04-13,1,Submitted
R00110,P0317,C00110,2025-05-03,2,Submitted
R00111,P0451,C00111,2025-04-12,10,Submitted
R00112,P0123,C00112,2025-02-19,5,Rejected
R00113,P0390,C00113,2025-03-14,8,Approved
R00114,P0009,C00114,2025-05-02,2,Rejected
R00115,P0262,C00115,2025-05-04,6,Submitted
R00116,P0073,C00116,2025-04-06,7,Approved
R00117,P0359,C00117,2025-04-03,9,Submitted
R00118,P0223,C00118,2025-02-14,4,Approved
R00119,P0416,C00119,2025-05-01,2,Submitted
R00120,P0041,C00120,2025-03-27,8,Approved
R00121,P0370,C00121,2025-04-12,0,Submitted
R00122,P0204,C00122,2025-03-03,5,Submitted
R00123,P0264,C00123,2025-04-06,8,Approved
R00124,P0328,C00124,2025-03-26,3,Rejected
R00125,P0178,C00125,2025-02-21,4,Submitted
R00126,P0348,C00126,2025-04-02,3,Rejected
R00127,P0318,C00127,2025-03-11,4,Submitted
R00128,P0084,C00128,2025-04-11,2,Approved
R00129,P0318,C00129,2025-02-26,1,Rejected
R00130,P0111,C00130,2025-03-29,2,Submitted
R00131,P0251,C00131,2025-03-10,9,Submitted
R00132,P0383,C00132,2025-04-25,5,Submitted
R00133,P0007,C00133,2025-03-10,5,Submitted
R00134,P0459,C00134,2025-02-21,4,Approved
R00135,P0084,C00135,2025-04-15,6,Approved
R00136,P0208,C00136,2025-03-30,5,Rejected
R00137,P0388,C00137,2025-03-06,4,Submitted
R00138,P0390,C00138,2025-03-19,7,Submitted
R00139,P0314,C00139,2025-04-11,9,Submitted
R00140,P0022,C00140,2025-03-22,4,Rejected
R00141,P0410,C00141,2025-04-14,7,Submitted
R00142,P0383,C00142,2025-05-08,4,Rejected
R00143,P0003,C00143,2025-04-09,3,Submitted
R00144,P0127,C00144,2025-04-07,5,Approved
R00145,P0297,C00145,2025-03-03,4,Submitted
R00146,P0188,C00146,2025-04-11,3,Approved
R00147,P0362,C00147,2025-04-04,4,Submitted
R00148,P0014,C00148,2025-02-16,7,Approved
R00149,P0459,C00149,2025-04-30,0,Approved
R00150,P0466,C00150,2025-03-01,0,Submitted
R00151,P0012,C00151,2025-03-09,0,Submitted
R00152,P0087,C00152,2025-04-22,2,Approved
R00153,P0012,C00153,2025-02-17,10,Submitted
R00154,P0397,C00154,2025-02-15,6,Approved
R00155,P0025,C00155,2025-05-05,9,Approved
R00156,P0301,C00156,2025-04-05,6,Submitted
R00157,P0243,C00157,2025-04-13,7,Submitted
R00158,P0122,C00158,2025-03-20,5,Approved
R00159,P0147,C00159,2025-05-01,3,Approved
R00160,P0055,C00160,2025-04-03,3,Approved
R00161,P0238,C00161,2025-04-13,5,Submitted
R00162,P0356,C00162,2025-03-15,3,Rejected
R00163,P0173,C00163,2025-03-09,6,Submitted
R00164,P0392,C00164,2025-02-22,9,Approved
R00165,P0221,C00165,2025-04-04,7,Submitted
R00166,P0119,C00166,2025-04-25,3,Submitted
R00167,P0309,C00167,2025-04-28,3,Submitted
R00168,P0183,C00168,2025-04-25,1,Submitted
R00169,P0288,C00169,2025-04-22,3,Rejected
R00170,P0307,C00170,2025-03-01,10,Submitted
R00171,P0300,C00171,2025-04-15,1,Submitted
R00172,P0082,C00172,2025-04-12,6,Submitted
R00173,P0454,C00173,2025-03-17,6,Submitted
R00174,P0402,C00174,2025-03-30,5,Submitted
R00175,P0211,C00175,2025-04-26,9,Submitted
R00176,P0150,C00176,2025-02-18,8,Submitted
R00177,P0037,C00177,2025-02-20,8,Submitted
R00178,P0352,C00178,2025-03-23,6,Submitted
R00179,P0312,C00179,2025-03-22,8,Submitted
R00180,P0361,C00180,2025-03-31,8,Approved
R00181,P0059,C00181,2025-03-06,9,Approved
R00182,P0131,C00182,2025-04-19,2,Approved
R00183,P0412,C00183,2025-03-21,2,Rejected
R00184,P0202,C00184,2025-04-23,2,Approved
R00185,P0243,C00185,2025-04-25,7,Submitted
R00186,P0035,C00186,2025-03-14,8,Submitted
R00187,P0445,C00187,2025-05-03,7,Rejected
R00188,P0093,C00188,2025-03-21,8,Approved
R00189,P0438,C00189,2025-02-24,5,Submitted
R00190,P0447,C00190,2025-04-21,2,Submitted
R00191,P0207,C00191,2025-03-16,4,Rejected
R00192,P0353,C00192,2025-04-17,6,Approved
R00193,P0391,C00193,2025-04-19,7,Submitted
R00194,P0332,C00194,2025-03-05,7,Rejected
R00195,P0305,C00195,2025-04-16,0,Rejected
R00196,P0350,C00196,2025-03-22,1,Submitted
R00197,P0213,C00197,2025-03-04,1,Approved
R00198,P0159,C00198,2025-03-16,7,Approved
R00199,P0442,C00199,2025-04-09,7,Submitted
R00200,P0445,C00200,2025-03-02,1,Approved
R00201,P0024,C00201,2025-03-12,4,Submitted
R00202,P0404,C00202,2025-04-30,5,Approved
R00203,P0293,C00203,2025-02-17,4,Rejected
R00204,P0004,C00204,2025-02-15,1,Submitted
R00205,P0220,C00205,2025-03-12,4,Submitted
R00206,P0364,C00206,2025-02-21,9,Rejected
R00207,P0382,C00207,2025-02-28,6,Rejected
R00208,P0020,C00208,2025-03-12,1,Submitted
R00209,P0444,C00209,2025-03-06,9,Rejected
R00210,P0152,C00210,2025-03-21,3,Submitted
R00211,P0050,C00211,2025-02-11,9,Submitted
R00212,P0177,C00212,2025-04-17,6,Approved
R00213,P0435,C00213,2025-03-10,4,Approved
R00214,P0096,C00214,2025-04-16,8,Approved
R00215,P0105,C00215,2025-05-03,5,Submitted
R00216,P0420,C00216,2025-02-03,1,Submitted
R00217,P0250,C00217,2025-04-24,5,Rejected
R00218,P0117,C00218,2025-03-30,1,Submitted
R00219,P0354,C00219,2025-03-21,7,Submitted
R00220,P0228,C00220,2025-05-03,8,Approved
R00221,P0066,C00221,2025-03-09,2,Approved
R00222,P0335,C00222,2025-03-11,2,Submitted
R00223,P0418,C00223,2025-04-23,5,Submitted
R00224,P0420,C00224,2025-04-24,9,Approved
R00225,P0262,C00225,2025-03-24,8,Rejected
R00226,P0295,C00226,2025-04-13,0,Submitted
R00227,P0426,C00227,2025-04-17,8,Submitted
R00228,P0243,C00228,2025-04-23,5,Submitted
R00229,P0371,C00229,2025-03-23,7,Approved
R00230,P0186,C00230,2025-03-01,7,Submitted
R00231,P0246,C00231,2025-03-17,9,Approved
R00232,P0125,C00232,2025-03-13,7,Submitted
R00233,P0268,C00233,2025-04-06,2,Submitted
R00234,P0131,C00234,2025-04-17,4,Approved
R00235,P0237,C00235,2025-04-09,4,Submitted
R00236,P0018,C00236,2025-04-18,7,Approved
R00237,P0040,C00237,2025-04-27,4,Submitted
R00238,P0021,C00238,2025-05-10,4,Submitted
R00239,P0399,C00239,2025-03-26,2,Submitted
R00240,P0225,C00240,2025-05-02,2,Submitted
R00241,P0355,C00241,2025-04-02,8,Submitted
R00242,P0282,C00242,2025-04-05,9,Approved
R00243,P0008,C00243,2025-02-16,8,Submitted
R00244,P0100,C00244,2025-03-15,8,Approved
R00245,P0240,C00245,2025-04-26,5,Submitted
R00246,P0478,C00246,2025-02-18,0,Submitted
R00247,P0087,C00247,2025-03-02,8,Submitted
R00248,P0298,C00248,2025-03-12,7,Approved
R00249,P0428,C00249,2025-03-18,6,Submitted
R00250,P0014,C00250,2025-03-05,8,Submitted
R00251,P0334,C00251,2025-04-22,4,Submitted
R00252,P0002,C00252,2025-03-04,5,Submitted
R00253,P0375,C00253,2025-04-29,8,Submitted
R00254,P0293,C00254,2025-03-19,6,Submitted
R00255,P0325,C00255,2025-04-26,2,Submitted
R00256,P0422,C00256,2025-03-16,1,Submitted
R00257,P0493,C00257,2025-04-14,8,Approved
R00258,P0041,C00258,2025-02-13,4,Approved
R00259,P0318,C00259,2025-05-01,1,Approved
R00260,P0316,C00260,2025-02-24,3,Submitted
R00261,P0381,C00261,2025-02-12,5,Submitted
R00262,P0111,C00262,2025-05-03,7,Approved
R00263,P0014,C00263,2025-02-12,9,Submitted
R00264,P0231,C00264,2025-02-09,6,Submitted
R00265,P0473,C00265,2025-02-25,6,Rejected
R00266,P0084,C00266,2025-04-18,7,Rejected
R00267,P0130,C00267,2025-03-31,4,Approved
R00268,P0231,C00268,2025-02-24,10,Rejected
R00269,P0326,C00269,2025-03-19,6,Approved
R00270,P0145,C00270,2025-02-14,8,Approved
R00271,P0379,C00271,2025-05-06,7,Submitted
R00272,P0345,C00272,2025-03-19,6,Rejected
R00273,P0028,C00273,2025-02-28,5,Approved
R00274,P0066,C00274,2025-03-16,9,Submitted
R00275,P0163,C00275,2025-04-05,10,Submitted
R00276,P0229,C00276,2025-05-02,0,Submitted
R00277,P0261,C00277,2025-04-12,3,Rejected
R00278,P0449,C00278,2025-04-22,5,Submitted
R00279,P0424,C00279,2025-02-16,7,Submitted
R00280,P0460,C00280,2025-03-02,5,Submitted
R00281,P0440,C00281,2025-03-29,0,Rejected
R00282,P0164,C00282,2025-05-04,5,Approved
R00283,P0301,C00283,2025-03-30,6,Submitted
R00284,P0407,C00284,2025-04-29,4,Submitted
R00285,P0303,C00285,2025-03-15,1,Submitted
R00286,P0287,C00286,2025-04-30,3,Submitted
R00287,P0395,C00287,2025-02-21,5,Submitted
R00288,P0010,C00288,2025-04-02,1,Submitted
R00289,P0195,C00289,2025-04-23,1,Submitted
R00290,P0118,C00290,2025-03-03,3,Submitted
R00291,P0270,C00291,2025-04-10,5,Submitted
R00292,P0080,C00292,2025-03-02,5,Rejected
R00293,P0458,C00293,2025-04-09,1,Submitted
R00294,P0093,C00294,2025-04-22,6,Submitted
R00295,P0266,C00295,2025-04-19,8,Submitted
R00296,P0332,C00296,2025-04-01,2,Submitted
R00297,P0350,C00297,2025-02-08,9,Submitted
R00298,P0361,C00298,2025-03-23,6,Submitted
R00299,P0257,C00299,2025-04-06,7,Approved
R00300,P0133,C00300,2025-02-10,6,Submitted
R00301,P0276,C00301,2025-04-02,5,Submitted
R00302,P0264,C00302,2025-02-04,9,Rejected
R00303,P0171,C00303,2025-03-14,2,Submitted
R00304,P0460,C00304,2025-03-20,7,Approved
R00305,P0001,C00305,2025-03-21,3,Submitted
R00306,P0313,C00306,2025-03-12,4,Submitted
R00307,P0064,C00307,2025-04-28,8,Submitted
R00308,P0374,C00308,2025-03-24,3,Submitted
R00309,P0468,C00309,2025-02-22,5,Rejected
R00310,P0284,C00310,2025-02-25,7,Submitted
R00311,P0121,C00311,2025-03-22,5,Submitted
R00312,P0107,C00312,2025-04-10,6,Approved
R00313,P0421,C00313,2025-04-04,7,Submitted
R00314,P0175,C00314,2025-05-03,3,Approved
R00315,P0485,C00315,2025-04-12,9,Submitted
R00316,P0204,C00316,2025-03-24,8,Approved
R00317,P0165,C00317,2025-04-25,5,Approved
R00318,P0305,C00318,2025-04-02,4,Submitted
R00319,P0497,C00319,2025-03-12,0,Submitted
R00320,P0120,C00320,2025-02-27,2,Submitted
R00321,P0044,C00321,2025-05-02,9,Submitted
R00322,P0312,C00322,2025-03-04,4,Submitted
R00323,P0156,C00323,2025-03-19,1,Rejected
R00324,P0367,C00324,2025-04-11,2,Submitted
R00325,P0207,C00325,2025-03-29,6,Submitted
R00326,P0390,C00326,2025-04-09,7,Submitted
R00327,P0108,C00327,2025-03-09,1,Submitted
R00328,P0251,C00328,2025-03-20,8,Submitted
R00329,P0445,C00329,2025-03-07,1,Submitted
R00330,P0404,C00330,2025-03-24,2,Submitted
R00331,P0370,C00331,2025-03-09,9,Submitted
R00332,P0334,C00332,2025-03-06,6,Approved
R00333,P0130,C00333,2025-03-01,6,Rejected
R00334,P0457,C00334,2025-04-04,2,Submitted
R00335,P0293,C00335,2025-04-24,10,Approved
R00336,P0020,C00336,2025-03-25,6,Submitted
R00337,P0282,C00337,2025-03-25,8,Approved
R00338,P0285,C00338,2025-02-26,4,Submitted
R00339,P0001,C00339,2025-02-28,8,Approved
R00340,P0119,C00340,2025-03-10,6,Approved
R00341,P0035,C00341,2025-03-30,3,Approved
R00342,P0198,C00342,2025-02-23,3,Approved
R00343,P0485,C00343,2025-03-24,1,Submitted
R00344,P0245,C00344,2025-04-14,4,Submitted
R00345,P0059,C00345,2025-03-19,3,Approved
R00346,P0325,C00346,2025-02-04,6,Submitted
R00347,P0161,C00347,2025-03-08,10,Submitted
R00348,P0497,C00348,2025-03-17,2,Submitted
R00349,P0179,C00349,2025-02-26,8,Approved
R00350,P0206,C00350,2025-04-03,6,Submitted
R00351,P0012,C00351,2025-03-12,6,Approved
R00352,P0490,C00352,2025-03-23,6,Approved
R00353,P0276,C00353,2025-03-10,8,Submitted
R00354,P0181,C00354,2025-05-02,8,Submitted
R00355,P0242,C00355,2025-03-28,7,Rejected
R00356,P0216,C00356,2025-03-09,2,Approved
R00357,P0251,C00357,2025-03-23,6,Submitted
R00358,P0299,C00358,2025-03-03,3,Submitted
R00359,P0126,C00359,2025-02-27,1,Submitted
R00360,P0482,C00360,2025-04-10,10,Submitted
R00361,P0217,C00361,2025-03-07,4,Submitted
R00362,P0306,C00362,2025-04-12,4,Rejected
R00363,P0285,C00363,2025-04-28,7,Rejected
R00364,P0185,C00364,2025-04-09,5,Approved
R00365,P0039,C00365,2025-02-26,8,Submitted
R00366,P0223,C00366,2025-04-14,4,Submitted
R00367,P0184,C00367,2025-03-07,9,Submitted
R00368,P0495,C00368,2025-04-04,9,Approved
R00369,P0427,C00369,2025-04-14,4,Submitted
R00370,P0178,C00370,2025-04-05,10,Approved
R00371,P0407,C00371,2025-05-09,8,Approved
R00372,P0428,C00372,2025-04-24,1,Approved
R00373,P0294,C00373,2025-03-02,7,Submitted
R00374,P0340,C00374,2025-03-11,4,Approved
R00375,P0151,C00375,2025-03-04,6,Submitted
R00376,P0384,C00376,2025-04-06,8,Approved
R00377,P0126,C00377,2025-02-21,4,Submitted
R00378,P0301,C00378,2025-02-09,8,Submitted
R00379,P0308,C00379,2025-02-10,0,Submitted
R00380,P0336,C00380,2025-03-02,8,Submitted
R00381,P0434,C00381,2025-04-30,6,Rejected
R00382,P0234,C00382,2025-04-08,5,Submitted
R00383,P0380,C00383,2025-04-16,5,Rejected
R00384,P0375,C00384,2025-02-18,6,Submitted
R00385,P0008,C00385,2025-02-05,4,Submitted
R00386,P0498,C00386,2025-03-01,6,Submitted
R00387,P0341,C00387,2025-03-23,2,Submitted
R00388,P0129,C00388,2025-03-11,1,Approved
R00389,P0264,C00389,2025-05-03,3,Submitted
R00390,P0157,C00390,2025-02-24,8,Approved
R00391,P0352,C00391,2025-04-22,5,Submitted
R00392,P0358,C00392,2025-02-16,10,Submitted
R00393,P0005,C00393,2025-02-09,8,Submitted
R00394,P0495,C00394,2025-03-18,10,Approved
R00395,P0086,C00395,2025-03-31,8,Approved
R00396,P0175,C00396,2025-04-04,1,Submitted
R00397,P0290,C00397,2025-02-24,1,Submitted
R00398,P0193,C00398,2025-04-21,4,Approved
R00399,P0311,C00399,2025-05-03,4,Rejected
R00400,P0119,C00400,2025-02-15,3,Submitted
R00401,P0218,C00401,2025-02-24,3,Approved
R00402,P0427,C00402,2025-03-26,4,Submitted
R00403,P0458,C00403,2025-03-19,4,Submitted
R00404,P0414,C00404,2025-03-28,2,Rejected
R00405,P0114,C00405,2025-04-02,8,Approved
R00406,P0466,C00406,2025-04-14,7,Approved
R00407,P0145,C00407,2025-03-12,8,Submitted
R00408,P0026,C00408,2025-04-30,2,Submitted
R00409,P0136,C00409,2025-02-28,2,Approved
R00410,P0303,C00410,2025-03-28,1,Rejected
R00411,P0232,C00411,2025-03-17,6,Approved
R00412,P0369,C00412,2025-03-31,2,Submitted
R00413,P0076,C00413,2025-02-16,5,Submitted
R00414,P0475,C00414,2025-05-01,9,Submitted
R00415,P0328,C00415,2025-02-13,8,Submitted
R00416,P0345,C00416,2025-04-16,5,Submitted
R00417,P0302,C00417,2025-04-03,7,Submitted
R00418,P0452,C00418,2025-03-05,7,Approved
R00419,P0289,C00419,2025-02-09,4,Approved
R00420,P0001,C00420,2025-02-27,4,Approved
R00421,P0147,C00421,2025-03-23,8,Rejected
R00422,P0287,C00422,2025-02-23,6,Submitted
R00423,P0464,C00423,2025-03-16,7,Approved
R00424,P0142,C00424,2025-04-09,7,Approved
R00425,P0053,C00425,2025-03-21,9,Rejected
R00426,P0304,C00426,2025-02-07,5,Submitted
R00427,P0069,C00427,2025-03-07,6,Submitted
R00428,P0361,C00428,2025-03-01,2,Approved
R00429,P0090,C00429,2025-04-21,1,Rejected
R00430,P0446,C00430,2025-02-14,3,Approved
R00431,P0220,C00431,2025-02-24,8,Approved
R00432,P0450,C00432,2025-03-02,0,Submitted
R00433,P0498,C00433,2025-04-21,7,Approved
R00434,P0192,C00434,2025-03-29,6,Approved
R00435,P0454,C00435,2025-04-17,6,Approved
R00436,P0063,C00436,2025-02-21,9,Approved
R00437,P0073,C00437,2025-02-12,5,Submitted
R00438,P0161,C00438,2025-03-02,5,Approved
R00439,P0169,C00439,2025-02-19,4,Submitted
R00440,P0089,C00440,2025-03-05,7,Rejected
R00441,P0176,C00441,2025-02-18,3,Approved
R00442,P0269,C00442,2025-02-13,8,Approved
R00443,P0073,C00443,2025-04-14,7,Rejected
R00444,P0245,C00444,2025-04-04,8,Submitted
R00445,P0077,C00445,2025-04-17,2,Submitted
R00446,P0159,C00446,2025-04-28,2,Approved
R00447,P0489,C00447,2025-03-19,4,Submitted
R00448,P0459,C00448,2025-03-24,8,Submitted
R00449,P0324,C00449,2025-03-01,6,Approved
R00450,P0098,C00450,2025-03-15,6,Submitted
R00451,P0381,C00451,2025-03-07,2,Submitted
R00452,P0102,C00452,2025-03-26,3,Submitted
R00453,P0494,C00453,2025-03-15,4,Submitted
R00454,P0132,C00454,2025-04-05,8,Submitted
R00455,P0102,C00455,2025-04-24,7,Submitted
R00456,P0019,C00456,2025-04-09,7,Approved
R00457,P0454,C00457,2025-03-29,7,Submitted
R00458,P0482,C00458,2025-02-07,10,Submitted
R00459,P0082,C00459,2025-02-27,6,Submitted
R00460,P0397,C00460,2025-04-07,2,Approved
R00461,P0489,C00461,2025-04-23,1,Submitted
R00462,P0279,C00462,2025-04-02,1,Submitted
R00463,P0339,C00463,2025-02-09,2,Rejected
R00464,P0365,C00464,2025-04-14,4,Submitted
R00465,P0331,C00465,2025-04-25,8,Submitted
R00466,P0129,C00466,2025-03-29,7,Approved
R00467,P0344,C00467,2025-04-20,4,Submitted
R00468,P0310,C00468,2025-02-21,4,Submitted
R00469,P0455,C00469,2025-03-22,4,Submitted
R00470,P0089,C00470,2025-03-21,1,Rejected
R00471,P0213,C00471,2025-03-03,4,Rejected
R00472,P0143,C00472,2025-05-11,8,Submitted
R00473,P0065,C00473,2025-03-14,1,Submitted
R00474,P0076,C00474,2025-04-19,5,Submitted
R00475,P0199,C00475,2025-05-03,7,Approved
R00476,P0143,C00476,2025-03-20,5,Submitted
R00477,P0405,C00477,2025-03-17,1,Submitted
R00478,P0403,C00478,2025-03-06,0,Approved
R00479,P0316,C00479,2025-02-11,5,Submitted
R00480,P0093,C00480,2025-02-17,4,Submitted
R00481,P0473,C00481,2025-03-13,2,Approved
R00482,P0417,C00482,2025-03-20,8,Approved
R00483,P0305,C00483,2025-04-11,3,Approved
R00484,P0224,C00484,2025-03-15,2,Rejected
R00485,P0497,C00485,2025-04-19,4,Submitted
R00486,P0291,C00486,2025-02-14,10,Submitted
R00487,P0428,C00487,2025-02-09,7,Submitted
R00488,P0102,C00488,2025-03-01,6,Submitted
R00489,P0474,C00489,2025-02-20,4,Submitted
R00490,P0267,C00490,2025-04-15,7,Submitted
R00491,P0355,C00491,2025-04-29,6,Submitted
R00492,P0456,C00492,2025-04-19,1,Submitted
R00493,P0110,C00493,2025-02-07,6,Submitted
R00494,P0462,C00494,2025-04-26,7,Submitted
R00495,P0330,C00495,2025-03-16,9,Approved
R00496,P0450,C00496,2025-02-10,0,Submitted
R00497,P0430,C00497,2025-03-20,3,Submitted
R00498,P0265,C00498,2025-04-07,9,Rejected
R00499,P0003,C00499,2025-03-26,6,Approved
R00500,P0085,C00500,2025-03-15,5,Submitted
R00501,P0282,C00501,2025-02-10,1,Submitted
R00502,P0328,C00502,2025-02-28,2,Approved
R00503,P0304,C00503,2025-02-19,2,Submitted
R00504,P0450,C00504,2025-02-27,1,Submitted
R00505,P0454,C00505,2025-04-26,7,Approved
R00506,P0412,C00506,2025-03-22,2,Submitted
R00507,P0117,C00507,2025-02-10,6,Submitted
R00508,P0221,C00508,2025-04-01,8,Submitted
R00509,P0154,C00509,2025-04-20,9,Submitted
R00510,P0153,C00510,2025-04-09,2,Rejected
R00511,P0012,C00511,2025-03-10,6,Submitted
R00512,P0133,C00512,2025-02-08,8,Submitted
R00513,P0482,C00513,2025-03-14,6,Approved
R00514,P0304,C00514,2025-02-25,1,Submitted
R00515,P0293,C00515,2025-04-23,9,Submitted
R00516,P0463,C00516,2025-02-14,3,Submitted
R00517,P0300,C00517,2025-04-30,4,Submitted
R00518,P0228,C00518,2025-04-05,3,Approved
R00519,P0271,C00519,2025-02-19,8,Submitted
R00520,P0043,C00520,2025-05-04,1,Submitted
R00521,P0432,C00521,2025-03-03,7,Rejected
R00522,P0343,C00522,2025-04-10,8,Submitted
R00523,P0326,C00523,2025-03-19,8,Submitted
R00524,P0302,C00524,2025-03-20,4,Submitted
R00525,P0498,C00525,2025-03-18,5,Submitted
R00526,P0364,C00526,2025-03-21,5,Submitted
R00527,P0379,C00527,2025-02-21,10,Submitted
R00528,P0427,C00528,2025-02-26,8,Submitted
R00529,P0493,C00529,2025-03-30,8,Submitted
R00530,P0021,C00530,2025-04-13,2,Submitted
R00531,P0407,C00531,2025-02-22,5,Approved
R00532,P0107,C00532,2025-02-17,8,Approved
R00533,P0336,C00533,2025-04-18,9,Submitted
R00534,P0303,C00534,2025-04-21,2,Rejected
R00535,P0117,C00535,2025-03-12,2,Approved
R00536,P0124,C00536,2025-04-17,1,Approved
R00537,P0399,C00537,2025-03-01,2,Submitted
R00538,P0281,C00538,2025-02-02,8,Approved
R00539,P0292,C00539,2025-04-16,6,Rejected
R00540,P0203,C00540,2025-04-23,7,Submitted
R00541,P0051,C00541,2025-03-27,5,Approved
R00542,P0271,C00542,2025-04-08,0,Approved
