return_id,order_id,product_id,return_date,reason,qty,supplier_id,product_name,cost_price,return_policy_days,claim_id,claim_date,claim_qty,status,order_date,days_since_order,within_policy,qty_match,reconciliation_status,mismatch_reason,return_week
R00025,O00025,P0382,2025-02-06,Changed Mind,2,S017,Think,351.4,73,C00025,2025-02-07,1,Rejected,2025-02-01,5,True,False,Mismatched,Qty Mismatch,6
R00026,O00026,P0236,2025-03-31,Changed Mind,6,S034,Nice,364.0,62,C00026,2025-04-01,5,Submitted,2025-03-27,4,True,False,Mismatched,Qty Mismatch,14
R00027,O00027,P0340,2025-04-17,Changed Mind,7,S014,Lawyer,57.94,27,C00027,2025-04-17,8,Approved,2025-01-15,92,False,False,Mismatched,Late & Qty Mismatch,16
R00028,O00028,P0228,2025-02-05,Expired,7,S003,Decide,202.62,85,C00028,2025-02-09,7,Submitted,2024-12-22,45,True,True,Matched,No Issue,6
R00029,O00029,P0009,2025-03-04,Expired,3,S013,Since,304.55,48,C00029,2025-03-05,4,Submitted,2025-02-06,26,True,False,Mismatched,Qty Mismatch,10
R00030,O00030,P0166,2025-02-13,Wrong Item,9,S049,High,419.3,43,C00030,2025-02-16,10,Submitted,2024-10-22,114,False,False,Mismatched,Late & Qty Mismatch,7
R00031,O00031,P0432,2025-05-01,Defective,2,S045,Wide,383.14,26,C00031,2025-05-09,1,Submitted,2025-01-08,113,False,False,Mismatched,Late & Qty Mismatch,18
R00032,O00032,P0444,2025-02-16,Damaged,3,S010,Republican,191.61,50,C00032,2025-02-18,3,Submitted,2025-01-03,44,True,True,Matched,No Issue,7
R00033,O00033,P0319,2025-03-13,Changed Mind,2,S002,Family,86.65,77,C00033,2025-03-20,3,Rejected,2025-02-01,40,True,False,Mismatched,Qty Mismatch,11
R00034,O00034,P0214,2025-04-06,Defective,9,S010,Everyone,119.89,22,C00034,2025-04-15,8,Approved,2024-12-12,115,False,False,Mismatched,Late & Qty Mismatch,14
R00035,O00035,P0117,2025-03-24,Defective,4,S010,Expect,403.8,38,C00035,2025-03-29,3,Approved,2024-12-25,89,False,False,Mismatched,Late & Qty Mismatch,13
R00036,O00036,P0386,2025-02-12,Wrong Item,2,S014,Some,403.71,27,C00036,2025-02-21,2,Approved,2025-01-16,27,True,True,Matched,No Issue,7
R00037,O00037,P0344,2025-04-28,Damaged,3,S012,Manage,222.59,25,C00037,2025-05-02,3,Submitted,2025-03-06,53,False,True,Mismatched,Late Return,18
R00038,O00038,P0072,2025-04-05,Changed Mind,4,S028,Production,107.37,71,C00038,2025-04-06,3,Submitted,2025-03-05,31,True,False,Mismatched,Qty Mismatch,14
R00039,O00039,P0395,2025-02-15,Damaged,6,S042,Institution,176.99,19,C00039,2025-02-17,6,Submitted,2024-11-19,88,False,True,Mismatched,Late Return,7
R00040,O00040,P0064,2025-02-05,Wrong Item,5,S045,Not,184.81,88,C00040,2025-02-12,5,Submitted,2024-12-15,52,True,True,Matched,No Issue,6
R00041,O00041,P0205,2025-03-07,Expired,3,S047,Brother,307.15,63,C00041,2025-03-15,4,Approved,2024-12-27,70,False,False,Mismatched,Late & Qty Mismatch,10
R00042,O00042,P0209,2025-03-23,Defective,8,S035,Long,12.48,71,C00042,2025-03-29,8,Approved,2025-02-22,29,True,True,Matched,No Issue,12
R00043,O00043,P0072,2025-03-12,Changed Mind,8,S028,Production,107.37,71,C00043,2025-03-12,7,Submitted,2025-01-19,52,True,False,Mismatched,Qty Mismatch,11
R00044,O00044,P0277,2025-02-05,Expired,7,S004,Development,401.16,70,C00044,2025-02-10,7,Submitted,2025-01-06,30,True,True,Matched,No Issue,6
R00045,O00045,P0274,2025-03-06,Wrong Item,3,S020,Turn,457.49,76,C00045,2025-03-12,4,Submitted,2025-02-23,11,True,False,Mismatched,Qty Mismatch,10
R00046,O00046,P0478,2025-04-26,Damaged,1,S014,Four,281.39,33,C00046,2025-05-01,1,Submitted,2025-04-18,8,True,True,Matched,No Issue,17
R00047,O00047,P0320,2025-04-30,Defective,5,S013,Relationship,132.62,68,C00047,2025-05-09,6,Submitted,2025-01-23,97,False,False,Mismatched,Late & Qty Mismatch,18
R00048,O00048,P0338,2025-02-05,Changed Mind,1,S044,Bill,354.79,17,C00048,2025-02-06,1,Submitted,2024-12-01,66,False,True,Mismatched,Late Return,6
R00049,O00049,P0366,2025-03-06,Expired,6,S045,Cover,199.19,74,C00049,2025-03-14,6,Submitted,2025-01-29,36,True,True,Matched,No Issue,10
R00050,O00050,P0495,2025-04-04,Expired,7,S021,Happy,237.21,41,C00050,2025-04-06,6,Rejected,2024-12-12,113,False,False,Mismatched,Late & Qty Mismatch,14
R00051,O00051,P0095,2025-04-03,Defective,5,S011,They,387.77,37,C00051,2025-04-08,4,Submitted,2025-03-07,27,True,False,Mismatched,Qty Mismatch,14
R00052,O00052,P0166,2025-03-05,Damaged,4,S049,High,419.3,43,C00052,2025-03-10,4,Approved,2024-11-16,109,False,True,Mismatched,Late Return,10
R00053,O00053,P0032,2025-03-24,Wrong Item,2,S025,Kind,93.56,75,C00053,2025-03-31,2,Approved,2024-12-29,85,False,True,Mismatched,Late Return,13
R00054,O00054,P0011,2025-04-21,Damaged,5,S035,Require,20.09,57,C00054,2025-04-24,6,Submitted,2025-03-27,25,True,False,Mismatched,Qty Mismatch,17
R00055,O00055,P0301,2025-04-30,Damaged,9,S001,Once,35.32,73,C00055,2025-05-05,10,Approved,2025-02-07,82,False,False,Mismatched,Late & Qty Mismatch,18
R00056,O00056,P0217,2025-04-10,Damaged,4,S039,Could,169.45,86,C00056,2025-04-10,3,Submitted,2025-03-21,20,True,False,Mismatched,Qty Mismatch,15
R00057,O00057,P0289,2025-04-26,Defective,2,S044,Hour,150.41,32,C00057,2025-05-04,2,Submitted,2025-01-16,100,False,True,Mismatched,Late Return,17
R00058,O00058,P0102,2025-02-23,Defective,6,S018,Example,321.84,15,C00058,2025-03-03,6,Submitted,2025-02-14,9,True,True,Matched,No Issue,8
R00059,O00059,P0425,2025-02-16,Wrong Item,8,S029,Small,38.2,51,C00059,2025-02-22,9,Approved,2024-11-29,79,False,False,Mismatched,Late & Qty Mismatch,7
R00060,O00060,P0392,2025-04-14,Damaged,2,S003,Medical,212.18,52,C00060,2025-04-14,2,Submitted,2025-03-22,23,True,True,Matched,No Issue,16
R00061,O00061,P0267,2025-02-17,Defective,9,S040,Receive,351.54,27,C00061,2025-02-19,9,Submitted,2025-01-24,24,True,True,Matched,No Issue,8
R00062,O00062,P0214,2025-03-11,Wrong Item,7,S010,Everyone,119.89,22,C00062,2025-03-15,7,Submitted,2025-01-19,51,False,True,Mismatched,Late Return,11
R00063,O00063,P0179,2025-02-18,Wrong Item,2,S017,Structure,469.0,70,C00063,2025-02-21,3,Submitted,2024-11-21,89,False,False,Mismatched,Late & Qty Mismatch,8
R00064,O00064,P0088,2025-04-26,Damaged,5,S047,Early,322.4,28,C00064,2025-04-30,6,Approved,2025-04-26,0,True,False,Mismatched,Qty Mismatch,17
R00065,O00065,P0041,2025-04-13,Changed Mind,5,S001,Sure,69.8,44,C00065,2025-04-19,6,Approved,2025-02-20,52,False,False,Mismatched,Late & Qty Mismatch,15
R00066,O00066,P0401,2025-03-11,Damaged,7,S039,In,60.53,24,C00066,2025-03-19,7,Submitted,2025-01-03,67,False,True,Mismatched,Late Return,11
R00067,O00067,P0076,2025-04-03,Changed Mind,5,S026,High,367.21,68,C00067,2025-04-03,6,Submitted,2024-12-24,100,False,False,Mismatched,Late & Qty Mismatch,14
R00068,O00068,P0377,2025-04-09,Wrong Item,6,S033,Oil,423.99,54,C00068,2025-04-13,5,Rejected,2024-12-24,106,False,False,Mismatched,Late & Qty Mismatch,15
R00069,O00069,P0046,2025-02-24,Defective,9,S017,Fall,334.64,30,C00069,2025-02-26,8,Approved,2024-12-09,77,False,False,Mismatched,Late & Qty Mismatch,9
R00070,O00070,P0160,2025-02-16,Expired,3,S005,Skin,366.83,68,C00070,2025-02-18,4,Approved,2025-01-24,23,True,False,Mismatched,Qty Mismatch,7
R00071,O00071,P0463,2025-04-06,Wrong Item,3,S043,Four,375.56,43,C00071,2025-04-07,4,Submitted,2025-03-11,26,True,False,Mismatched,Qty Mismatch,14
R00072,O00072,P0080,2025-03-08,Defective,8,S012,Available,66.78,48,C00072,2025-03-13,8,Submitted,2024-11-22,106,False,True,Mismatched,Late Return,10
R00073,O00073,P0310,2025-02-05,Wrong Item,6,S003,Drop,142.71,25,C00073,2025-02-10,7,Approved,2025-01-10,26,False,False,Mismatched,Late & Qty Mismatch,6
R00074,O00074,P0086,2025-03-16,Damaged,3,S017,Base,169.34,51,C00074,2025-03-18,4,Submitted,2024-12-19,87,False,False,Mismatched,Late & Qty Mismatch,11
R00075,O00075,P0092,2025-02-19,Changed Mind,2,S021,Fall,359.49,88,C00075,2025-02-19,1,Approved,2024-11-08,103,False,False,Mismatched,Late & Qty Mismatch,8
R00076,O00076,P0148,2025-04-25,Wrong Item,2,S032,Usually,256.31,54,C00076,2025-05-01,1,Approved,2025-02-20,64,False,False,Mismatched,Late & Qty Mismatch,17
R00077,O00077,P0161,2025-03-05,Defective,2,S041,Pattern,190.21,79,C00077,2025-03-06,1,Submitted,2025-01-26,38,True,False,Mismatched,Qty Mismatch,10
R00078,O00078,P0202,2025-04-16,Damaged,5,S023,Specific,51.23,33,C00078,2025-04-23,4,Approved,2025-01-30,76,False,False,Mismatched,Late & Qty Mismatch,16
R00079,O00079,P0424,2025-04-21,Expired,5,S015,Ask,252.27,74,C00079,2025-04-23,6,Submitted,2025-01-28,83,False,False,Mismatched,Late & Qty Mismatch,17
R00080,O00080,P0416,2025-02-22,Damaged,1,S033,Clear,229.74,78,C00080,2025-02-22,0,Approved,2024-11-13,101,False,False,Mismatched,Late & Qty Mismatch,8
R00081,O00081,P0242,2025-04-02,Changed Mind,2,S019,After,477.43,31,C00081,2025-04-11,2,Rejected,2025-02-26,35,False,True,Mismatched,Late Return,14
R00082,O00082,P0353,2025-03-09,Damaged,2,S041,Interesting,332.76,23,C00082,2025-03-17,2,Rejected,2024-12-24,75,False,True,Mismatched,Late Return,10
R00083,O00083,P0002,2025-02-27,Expired,4,S009,Brother,475.85,49,C00083,2025-03-03,5,Approved,2024-12-21,68,False,False,Mismatched,Late & Qty Mismatch,9
R00084,O00084,P0225,2025-02-08,Defective,7,S025,Purpose,139.95,46,C00084,2025-02-08,7,Submitted,2025-02-04,4,True,True,Matched,No Issue,6
R00085,O00085,P0289,2025-04-12,Wrong Item,3,S044,Hour,150.41,32,C00085,2025-04-21,2,Approved,2025-01-22,80,False,False,Mismatched,Late & Qty Mismatch,15
R00086,O00086,P0233,2025-03-05,Changed Mind,5,S036,Notice,292.68,28,C00086,2025-03-10,4,Approved,2024-11-24,101,False,False,Mismatched,Late & Qty Mismatch,10
R00087,O00087,P0461,2025-03-19,Expired,9,S047,Other,67.59,53,C00087,2025-03-28,9,Submitted,2025-03-10,9,True,True,Matched,No Issue,12
R00088,O00088,P0414,2025-04-04,Changed Mind,5,S005,Serious,290.98,31,C00088,2025-04-06,6,Submitted,2025-03-20,15,True,False,Mismatched,Qty Mismatch,14
R00089,O00089,P0417,2025-04-18,Damaged,9,S038,Customer,153.67,49,C00089,2025-04-21,8,Submitted,2025-01-21,87,False,False,Mismatched,Late & Qty Mismatch,16
R00090,O00090,P0077,2025-03-03,Changed Mind,1,S034,Participant,387.92,81,C00090,2025-03-10,0,Submitted,2024-12-01,92,False,False,Mismatched,Late & Qty Mismatch,10
R00091,O00091,P0116,2025-02-04,Expired,9,S004,Hundred,437.02,58,C00091,2025-02-08,9,Rejected,2024-12-14,52,True,True,Matched,No Issue,6
R00092,O00092,P0154,2025-04-21,Wrong Item,5,S028,Chair,249.83,31,C00092,2025-04-26,6,Submitted,2025-04-08,13,True,False,Mismatched,Qty Mismatch,17
R00093,O00093,P0406,2025-02-25,Wrong Item,8,S033,Look,448.81,45,C00093,2025-03-06,9,Submitted,2024-12-14,73,False,False,Mismatched,Late & Qty Mismatch,9
R00094,O00094,P0103,2025-03-26,Changed Mind,5,S030,Science,164.03,61,C00094,2025-03-29,5,Submitted,2025-02-26,28,True,True,Matched,No Issue,13
R00095,O00095,P0194,2025-05-01,Defective,6,S024,Response,320.22,56,C00095,2025-05-06,5,Approved,2025-04-04,27,True,False,Mismatched,Qty Mismatch,18
R00096,O00096,P0166,2025-02-05,Changed Mind,8,S049,High,419.3,43,C00096,2025-02-07,8,Rejected,2024-10-11,117,False,True,Mismatched,Late Return,6
R00097,O00097,P0359,2025-03-27,Damaged,2,S037,Energy,470.71,52,C00097,2025-04-05,2,Submitted,2024-12-01,116,False,True,Mismatched,Late Return,13
R00098,O00098,P0090,2025-03-05,Wrong Item,3,S015,Blood,241.39,62,C00098,2025-03-05,3,Approved,2025-02-17,16,True,True,Matched,No Issue,10
R00099,O00099,P0174,2025-04-13,Wrong Item,9,S022,Traditional,120.98,68,C00099,2025-04-18,8,Submitted,2025-02-04,68,True,False,Mismatched,Qty Mismatch,15
R00100,O00100,P0122,2025-03-13,Wrong Item,5,S024,Discuss,449.08,23,C00100,2025-03-13,4,Submitted,2025-01-07,65,False,False,Mismatched,Late & Qty Mismatch,11
R00101,O00101,P0498,2025-05-01,Defective,5,S009,Until,48.09,60,C00101,2025-05-10,5,Approved,2025-03-27,35,True,True,Matched,No Issue,18
R00102,O00102,P0143,2025-02-12,Defective,9,S003,Forward,253.65,90,C00102,2025-02-14,10,Submitted,2024-10-22,113,False,False,Mismatched,Late & Qty Mismatch,7
R00103,O00103,P0482,2025-04-23,Expired,3,S011,Baby,350.92,15,C00103,2025-04-30,3,Submitted,2025-01-10,103,False,True,Mismatched,Late Return,17
R00104,O00104,P0106,2025-02-19,Changed Mind,4,S034,Raise,132.15,25,C00104,2025-02-25,3,Submitted,2025-01-05,45,False,False,Mismatched,Late & Qty Mismatch,8
R00105,O00105,P0375,2025-02-05,Changed Mind,7,S032,Training,44.88,70,C00105,2025-02-12,8,Submitted,2024-12-23,44,True,False,Mismatched,Qty Mismatch,6
R00106,O00106,P0428,2025-03-13,Damaged,2,S029,Apply,444.98,34,C00106,2025-03-22,3,Submitted,2024-12-01,102,False,False,Mismatched,Late & Qty Mismatch,11
R00107,O00107,P0305,2025-03-20,Wrong Item,8,S037,Account,365.78,84,C00107,2025-03-29,7,Submitted,2025-03-12,8,True,False,Mismatched,Qty Mismatch,12
R00108,O00108,P0360,2025-04-15,Defective,5,S005,Dark,291.98,86,C00108,2025-04-16,4,Approved,2025-03-11,35,True,False,Mismatched,Qty Mismatch,16
R00109,O00109,P0459,2025-04-04,Damaged,1,S025,Really,37.59,18,C00109,2025-04-13,1,Submitted,2025-03-31,4,True,True,Matched,No Issue,14
R00110,O00110,P0317,2025-04-27,Damaged,3,S010,My,210.39,86,C00110,2025-05-03,2,Submitted,2025-02-08,78,True,False,Mismatched,Qty Mismatch,17
R00111,O00111,P0451,2025-04-09,Defective,9,S026,Over,390.8,20,C00111,2025-04-12,10,Submitted,2025-01-27,72,False,False,Mismatched,Late & Qty Mismatch,15
R00112,O00112,P0123,2025-02-19,Changed Mind,5,S005,Reveal,165.82,54,C00112,2025-02-19,5,Rejected,2024-11-23,88,False,True,Mismatched,Late Return,8
R00113,O00113,P0390,2025-03-12,Wrong Item,8,S006,Investment,405.35,77,C00113,2025-03-14,8,Approved,2025-01-22,49,True,True,Matched,No Issue,11
R00114,O00114,P0009,2025-04-28,Changed Mind,1,S013,Since,304.55,48,C00114,2025-05-02,2,Rejected,2025-04-01,27,True,False,Mismatched,Qty Mismatch,18
R00115,O00115,P0262,2025-04-25,Damaged,7,S031,Soon,495.13,69,C00115,2025-05-04,6,Submitted,2025-03-30,26,True,False,Mismatched,Qty Mismatch,17
R00116,O00116,P0073,2025-03-30,Wrong Item,7,S031,Present,12.71,81,C00116,2025-04-06,7,Approved,2024-12-11,109,False,True,Mismatched,Late Return,13
R00117,O00117,P0359,2025-04-02,Expired,8,S037,Energy,470.71,52,C00117,2025-04-03,9,Submitted,2025-02-15,46,True,False,Mismatched,Qty Mismatch,14
R00118,O00118,P0223,2025-02-13,Damaged,3,S013,Fire,55.9,40,C00118,2025-02-14,4,Approved,2025-01-12,32,True,False,Mismatched,Qty Mismatch,7
R00119,O00119,P0416,2025-04-24,Changed Mind,1,S033,Clear,229.74,78,C00119,2025-05-01,2,Submitted,2024-12-31,114,False,False,Mismatched,Late & Qty Mismatch,17
R00120,O00120,P0041,2025-03-19,Changed Mind,9,S001,Sure,69.8,44,C00120,2025-03-27,8,Approved,2024-12-13,96,False,False,Mismatched,Late & Qty Mismatch,12
R00121,O00121,P0370,2025-04-03,Changed Mind,1,S040,Two,43.99,54,C00121,2025-04-12,0,Submitted,2025-02-25,37,True,False,Mismatched,Qty Mismatch,14
R00122,O00122,P0204,2025-03-03,Defective,6,S043,Grow,450.29,73,C00122,2025-03-03,5,Submitted,2025-02-24,7,True,False,Mismatched,Qty Mismatch,10
R00123,O00123,P0264,2025-04-05,Damaged,9,S009,Space,263.98,48,C00123,2025-04-06,8,Approved,2025-04-02,3,True,False,Mismatched,Qty Mismatch,14
R00124,O00124,P0328,2025-03-23,Wrong Item,2,S009,Own,309.74,68,C00124,2025-03-26,3,Rejected,2024-12-02,111,False,False,Mismatched,Late & Qty Mismatch,12
R00125,O00125,P0178,2025-02-19,Changed Mind,4,S048,Collection,199.5,83,C00125,2025-02-21,4,Submitted,2024-11-05,106,False,True,Mismatched,Late Return,8
R00126,O00126,P0348,2025-04-02,Changed Mind,2,S040,Report,32.2,23,C00126,2025-04-02,3,Rejected,2025-02-26,35,False,False,Mismatched,Late & Qty Mismatch,14
R00127,O00127,P0318,2025-03-08,Defective,4,S044,Economy,94.91,34,C00127,2025-03-11,4,Submitted,2024-11-22,106,False,True,Mismatched,Late Return,10
R00128,O00128,P0084,2025-04-10,Wrong Item,2,S030,Spring,41.14,30,C00128,2025-04-11,2,Approved,2025-03-11,30,True,True,Matched,No Issue,15
R00129,O00129,P0318,2025-02-17,Damaged,1,S044,Economy,94.91,34,C00129,2025-02-26,1,Rejected,2024-12-06,73,False,True,Mismatched,Late Return,8
R00130,O00130,P0111,2025-03-25,Expired,3,S030,,151.98,19,C00130,2025-03-29,2,Submitted,2025-02-05,48,False,False,Mismatched,Late & Qty Mismatch,13
R00131,O00131,P0251,2025-03-10,Defective,8,S037,Article,154.28,54,C00131,2025-03-10,9,Submitted,2025-01-29,40,True,False,Mismatched,Qty Mismatch,11
R00132,O00132,P0383,2025-04-18,Damaged,5,S033,Administration,318.18,73,C00132,2025-04-25,5,Submitted,2025-01-03,105,False,True,Mismatched,Late Return,16
R00133,O00133,P0007,2025-03-01,Expired,4,S048,Dog,38.46,16,C00133,2025-03-10,5,Submitted,2025-02-22,7,True,False,Mismatched,Qty Mismatch,9
R00134,O00134,P0459,2025-02-20,Changed Mind,5,S025,Really,37.59,18,C00134,2025-02-21,4,Approved,2025-01-22,29,False,False,Mismatched,Late & Qty Mismatch,8
R00135,O00135,P0084,2025-04-13,Changed Mind,6,S030,Spring,41.14,30,C00135,2025-04-15,6,Approved,2025-03-31,13,True,True,Matched,No Issue,15
R00136,O00136,P0208,2025-03-28,Wrong Item,6,S038,Coach,335.12,88,C00136,2025-03-30,5,Rejected,2025-02-12,44,True,False,Mismatched,Qty Mismatch,13
R00137,O00137,P0388,2025-03-03,Expired,5,S040,Economic,96.95,67,C00137,2025-03-06,4,Submitted,2024-11-25,98,False,False,Mismatched,Late & Qty Mismatch,10
R00138,O00138,P0390,2025-03-13,Changed Mind,6,S006,Investment,405.35,77,C00138,2025-03-19,7,Submitted,2024-11-24,109,False,False,Mismatched,Late & Qty Mismatch,11
R00139,O00139,P0314,2025-04-03,Changed Mind,9,S010,Trade,481.7,66,C00139,2025-04-11,9,Submitted,2025-02-17,45,True,True,Matched,No Issue,14
R00140,O00140,P0022,2025-03-20,Wrong Item,5,S005,Early,78.35,43,C00140,2025-03-22,4,Rejected,2025-01-13,66,False,False,Mismatched,Late & Qty Mismatch,12
R00141,O00141,P0410,2025-04-14,Damaged,6,S004,Side,54.73,80,C00141,2025-04-14,7,Submitted,2025-01-12,92,False,False,Mismatched,Late & Qty Mismatch,16
R00142,O00142,P0383,2025-04-29,Changed Mind,4,S033,Administration,318.18,73,C00142,2025-05-08,4,Rejected,2025-04-14,15,True,True,Matched,No Issue,18
R00143,O00143,P0003,2025-04-09,Defective,3,S033,Ago,368.68,77,C00143,2025-04-09,3,Submitted,2025-03-31,9,True,True,Matched,No Issue,15
R00144,O00144,P0127,2025-04-02,Defective,6,S013,Stand,410.83,36,C00144,2025-04-07,5,Approved,2025-01-25,67,False,False,Mismatched,Late & Qty Mismatch,14
R00145,O00145,P0297,2025-02-27,Damaged,5,S020,Attack,387.3,29,C00145,2025-03-03,4,Submitted,2025-01-07,51,False,False,Mismatched,Late & Qty Mismatch,9
R00146,O00146,P0188,2025-04-02,Expired,4,S022,Newspaper,282.05,87,C00146,2025-04-11,3,Approved,2025-02-12,49,True,False,Mismatched,Qty Mismatch,14
R00147,O00147,P0362,2025-03-29,Wrong Item,5,S014,Not,325.21,62,C00147,2025-04-04,4,Submitted,2025-01-21,67,False,False,Mismatched,Late & Qty Mismatch,13
R00148,O00148,P0014,2025-02-10,Defective,7,S005,Offer,114.05,68,C00148,2025-02-16,7,Approved,2025-02-09,1,True,True,Matched,No Issue,7
R00149,O00149,P0459,2025-04-28,Defective,1,S025,Really,37.59,18,C00149,2025-04-30,0,Approved,2025-02-13,74,False,False,Mismatched,Late & Qty Mismatch,18
R00150,O00150,P0466,2025-02-23,Damaged,1,S036,Democratic,193.69,46,C00150,2025-03-01,0,Submitted,2024-12-07,78,False,False,Mismatched,Late & Qty Mismatch,8
R00151,O00151,P0012,2025-03-01,Expired,1,S006,Sit,485.26,73,C00151,2025-03-09,0,Submitted,2024-12-17,74,False,False,Mismatched,Late & Qty Mismatch,9
R00152,O00152,P0087,2025-04-15,Expired,2,S048,Top,367.51,68,C00152,2025-04-22,2,Approved,2024-12-18,118,False,True,Mismatched,Late Return,16
R00153,O00153,P0012,2025-02-15,Damaged,9,S006,Sit,485.26,73,C00153,2025-02-17,10,Submitted,2024-10-22,116,False,False,Mismatched,Late & Qty Mismatch,7
R00154,O00154,P0397,2025-02-06,Defective,5,S047,Artist,430.62,72,C00154,2025-02-15,6,Approved,2024-11-12,86,False,False,Mismatched,Late & Qty Mismatch,6
R00155,O00155,P0025,2025-05-01,Wrong Item,9,S018,Agreement,233.47,40,C00155,2025-05-05,9,Approved,2025-01-20,101,False,True,Mismatched,Late Return,18
R00156,O00156,P0301,2025-03-29,Defective,5,S001,Once,35.32,73,C00156,2025-04-05,6,Submitted,2024-12-06,113,False,False,Mismatched,Late & Qty Mismatch,13
R00157,O00157,P0243,2025-04-12,Expired,7,S042,Brother,458.28,28,C00157,2025-04-13,7,Submitted,2025-01-09,93,False,True,Mismatched,Late Return,15
R00158,O00158,P0122,2025-03-14,Defective,6,S024,Discuss,449.08,23,C00158,2025-03-20,5,Approved,2025-01-14,59,False,False,Mismatched,Late & Qty Mismatch,11
R00159,O00159,P0147,2025-04-22,Wrong Item,2,S029,Individual,308.69,20,C00159,2025-05-01,3,Approved,2025-03-04,49,False,False,Mismatched,Late & Qty Mismatch,17
R00160,O00160,P0055,2025-03-25,Changed Mind,3,S010,Her,302.97,77,C00160,2025-04-03,3,Approved,2025-03-25,0,True,True,Matched,No Issue,13
