return_id,order_id,product_id,return_date,reason,qty,supplier_id
R00068,O00068,P0377,2025-04-09,Wrong Item,6,S033
R00069,O00069,P0046,2025-02-24,Defective,9,S017
R00070,O00070,P0160,2025-02-16,Expired,3,S005
R00071,O00071,P0463,2025-04-06,Wrong Item,3,S043
R00072,O00072,P0080,2025-03-08,Defective,8,S012
R00073,O00073,P0310,2025-02-05,Wrong Item,6,S003
R00074,O00074,P0086,2025-03-16,Damaged,3,S017
R00075,O00075,P0092,2025-02-19,Changed Mind,2,S021
R00076,O00076,P0148,2025-04-25,Wrong Item,2,S032
R00077,O00077,P0161,2025-03-05,Defective,2,S041
R00078,O00078,P0202,2025-04-16,Damaged,5,S023
R00079,O00079,P0424,2025-04-21,Expired,5,S015
R00080,O00080,P0416,2025-02-22,Damaged,1,S033
R00081,O00081,P0242,2025-04-02,Changed Mind,2,S019
R00082,O00082,P0353,2025-03-09,Damaged,2,S041
R00083,O00083,P0002,2025-02-27,Expired,4,S009
R00084,O00084,P0225,2025-02-08,Defective,7,S025
R00085,O00085,P0289,2025-04-12,Wrong Item,3,S044
R00086,O00086,P0233,2025-03-05,Changed Mind,5,S036
R00087,O00087,P0461,2025-03-19,Expired,9,S047
R00088,O00088,P0414,2025-04-04,Changed Mind,5,S005
R00089,O00089,P0417,2025-04-18,Damaged,9,S038
R00090,O00090,P0077,2025-03-03,Changed Mind,1,S034
R00091,O00091,P0116,2025-02-04,Expired,9,S004
R00092,O00092,P0154,2025-04-21,Wrong Item,5,S028
R00093,O00093,P0406,2025-02-25,Wrong Item,8,S033
R00094,O00094,P0103,2025-03-26,Changed Mind,5,S030
R00095,O00095,P0194,2025-05-01,Defective,6,S024
R00096,O00096,P0166,2025-02-05,Changed Mind,8,S049
R00097,O00097,P0359,2025-03-27,Damaged,2,S037
R00098,O00098,P0090,2025-03-05,Wrong Item,3,S015
R00099,O00099,P0174,2025-04-13,Wrong Item,9,S022
R00100,O00100,P0122,2025-03-13,Wrong Item,5,S024
R00101,O00101,P0498,2025-05-01,Defective,5,S009
R00102,O00102,P0143,2025-02-12,Defective,9,S003
R00103,O00103,P0482,2025-04-23,Expired,3,S011
R00104,O00104,P0106,2025-02-19,Changed Mind,4,S034
R00105,O00105,P0375,2025-02-05,Changed Mind,7,S032
R00106,O00106,P0428,2025-03-13,Damaged,2,S029
R00107,O00107,P0305,2025-03-20,Wrong Item,8,S037
R00108,O00108,P0360,2025-04-15,Defective,5,S005
R00109,O00109,P0459,2025-04-04,Damaged,1,S025
R00110,O00110,P0317,2025-04-27,Damaged,3,S010
R00111,O00111,P0451,2025-04-09,Defective,9,S026
R00112,O00112,P0123,2025-02-19,Changed Mind,5,S005
R00113,O00113,P0390,2025-03-12,Wrong Item,8,S006
R00114,O00114,P0009,2025-04-28,Changed Mind,1,S013
R00115,O00115,P0262,2025-04-25,Damaged,7,S031
R00116,O00116,P0073,2025-03-30,Wrong Item,7,S031
R00117,O00117,P0359,2025-04-02,Expired,8,S037
R00118,O00118,P0223,2025-02-13,Damaged,3,S013
R00119,O00119,P0416,2025-04-24,Changed Mind,1,S033
R00120,O00120,P0041,2025-03-19,Changed Mind,9,S001
R00121,O00121,P0370,2025-04-03,Changed Mind,1,S040
R00122,O00122,P0204,2025-03-03,Defective,6,S043
R00123,O00123,P0264,2025-04-05,Damaged,9,S009
R00124,O00124,P0328,2025-03-23,Wrong Item,2,S009
R00125,O00125,P0178,2025-02-19,Changed Mind,4,S048
R00126,O00126,P0348,2025-04-02,Changed Mind,2,S040
R00127,O00127,P0318,2025-03-08,Defective,4,S044
R00128,O00128,P0084,2025-04-10,Wrong Item,2,S030
R00129,O00129,P0318,2025-02-17,Damaged,1,S044
R00130,O00130,P0111,2025-03-25,Expired,3,S030
R00131,O00131,P0251,2025-03-10,Defective,8,S037
R00132,O00132,P0383,2025-04-18,Damaged,5,S033
R00133,O00133,P0007,2025-03-01,Expired,4,S048
R00134,O00134,P0459,2025-02-20,Changed Mind,5,S025
R00135,O00135,P0084,2025-04-13,Changed Mind,6,S030
R00136,O00136,P0208,2025-03-28,Wrong Item,6,S038
R00137,O00137,P0388,2025-03-03,Expired,5,S040
R00138,O00138,P0390,2025-03-13,Changed Mind,6,S006
R00139,O00139,P0314,2025-04-03,Changed Mind,9,S010
R00140,O00140,P0022,2025-03-20,Wrong Item,5,S005
R00141,O00141,P0410,2025-04-14,Damaged,6,S004
R00142,O00142,P0383,2025-04-29,Changed Mind,4,S033
R00143,O00143,P0003,2025-04-09,Defective,3,S033
R00144,O00144,P0127,2025-04-02,Defective,6,S013
R00145,O00145,P0297,2025-02-27,Damaged,5,S020
R00146,O00146,P0188,2025-04-02,Expired,4,S022
R00147,O00147,P0362,2025-03-29,Wrong Item,5,S014
R00148,O00148,P0014,2025-02-10,Defective,7,S005
R00149,O00149,P0459,2025-04-28,Defective,1,S025
R00150,O00150,P0466,2025-02-23,Damaged,1,S036
R00151,O00151,P0012,2025-03-01,Expired,1,S006
R00152,O00152,P0087,2025-04-15,Expired,2,S048
R00153,O00153,P0012,2025-02-15,Damaged,9,S006
R00154,O00154,P0397,2025-02-06,Defective,5,S047
R00155,O00155,P0025,2025-05-01,Wrong Item,9,S018
R00156,O00156,P0301,2025-03-29,Defective,5,S001
R00157,O00157,P0243,2025-04-12,Expired,7,S042
R00158,O00158,P0122,2025-03-14,Defective,6,S024
R00159,O00159,P0147,2025-04-22,Wrong Item,2,S029
R00160,O00160,P0055,2025-03-25,Changed Mind,3,S010
R00161,O00161,P0238,2025-04-07,Defective,5,S008
R00162,O00162,P0356,2025-03-08,Damaged,4,S030
R00163,O00163,P0173,2025-03-09,Changed Mind,6,S047
R00164,O00164,P0392,2025-02-15,Damaged,8,S003
R00165,O00165,P0221,2025-04-04,Damaged,8,S025
R00166,O00166,P0119,2025-04-23,Damaged,3,S010
R00167,O00167,P0309,2025-04-20,Defective,4,S043
R00168,O00168,P0183,2025-04-22,Expired,1,S008
R00169,O00169,P0288,2025-04-13,Changed Mind,2,S045
R00170,O00170,P0307,2025-02-21,Wrong Item,9,S036
R00171,O00171,P0300,2025-04-15,Expired,2,S047
R00172,O00172,P0082,2025-04-05,Defective,6,S044
R00173,O00173,P0454,2025-03-15,Damaged,7,S012
R00174,O00174,P0402,2025-03-24,Wrong Item,6,S027
R00175,O00175,P0211,2025-04-25,Changed Mind,8,S025
R00176,O00176,P0150,2025-02-12,Expired,9,S019
R00177,O00177,P0037,2025-02-14,Expired,8,S033
R00178,O00178,P0352,2025-03-15,Wrong Item,5,S011
R00179,O00179,P0312,2025-03-21,Defective,8,S006
R00180,O00180,P0361,2025-03-24,Changed Mind,9,S019
R00181,O00181,P0059,2025-03-02,Wrong Item,8,S021
R00182,O00182,P0131,2025-04-10,Damaged,2,S011
R00183,O00183,P0412,2025-03-13,Changed Mind,2,S002
R00184,O00184,P0202,2025-04-16,Expired,3,S023
R00185,O00185,P0243,2025-04-23,Wrong Item,7,S042
R00186,O00186,P0035,2025-03-12,Expired,9,S049
R00187,O00187,P0445,2025-04-24,Expired,8,S040
R00188,O00188,P0093,2025-03-14,Expired,9,S014
R00189,O00189,P0438,2025-02-16,Defective,6,S026
R00190,O00190,P0447,2025-04-20,Expired,1,S006
R00191,O00191,P0207,2025-03-14,Damaged,4,S018
R00192,O00192,P0353,2025-04-10,Damaged,6,S041
R00193,O00193,P0391,2025-04-18,Changed Mind,6,S006
R00194,O00194,P0332,2025-02-26,Expired,8,S038
R00195,O00195,P0305,2025-04-12,Expired,1,S037
R00196,O00196,P0350,2025-03-17,Wrong Item,2,S029
R00197,O00197,P0213,2025-02-23,Defective,2,S028
R00198,O00198,P0159,2025-03-13,Changed Mind,6,S001
R00199,O00199,P0442,2025-04-07,Expired,7,S020
R00200,O00200,P0445,2025-02-23,Wrong Item,2,S040
R00201,O00201,P0024,2025-03-04,Defective,5,S001
R00202,O00202,P0404,2025-04-23,Changed Mind,6,S029
R00203,O00203,P0293,2025-02-09,Changed Mind,4,S004
R00204,O00204,P0004,2025-02-15,Expired,1,S020
R00205,O00205,P0220,2025-03-08,Changed Mind,3,S044
R00206,O00206,P0364,2025-02-15,Wrong Item,9,S004
R00207,O00207,P0382,2025-02-21,Changed Mind,6,S017
R00208,O00208,P0020,2025-03-11,Damaged,2,S050
R00209,O00209,P0444,2025-03-03,Wrong Item,9,S010
R00210,O00210,P0152,2025-03-15,Defective,4,S005
R00211,O00211,P0050,2025-02-07,Defective,8,S038
R00212,O00212,P0177,2025-04-17,Expired,7,S043
R00213,O00213,P0435,2025-03-09,Expired,3,S031
R00214,O00214,P0096,2025-04-12,Damaged,8,S039
R00215,O00215,P0105,2025-04-28,Defective,4,S027
R00216,O00216,P0420,2025-02-03,Defective,2,S047
R00217,O00217,P0250,2025-04-22,Defective,5,S006
R00218,O00218,P0117,2025-03-25,Defective,1,S010
R00219,O00219,P0354,2025-03-16,Changed Mind,8,S037
R00220,O00220,P0228,2025-04-27,Wrong Item,8,S003
R00221,O00221,P0066,2025-02-28,Wrong Item,3,S004
R00222,O00222,P0335,2025-03-09,Damaged,1,S031
R00223,O00223,P0418,2025-04-23,Changed Mind,4,S013
R00224,O00224,P0420,2025-04-18,Defective,9,S047
R00225,O00225,P0262,2025-03-22,Defective,9,S031
R00226,O00226,P0295,2025-04-09,Expired,1,S020
R00227,O00227,P0426,2025-04-14,Expired,7,S008
R00228,O00228,P0243,2025-04-23,Damaged,6,S042
R00229,O00229,P0371,2025-03-17,Defective,7,S008
R00230,O00230,P0186,2025-02-26,Damaged,7,S015
R00231,O00231,P0246,2025-03-17,Changed Mind,8,S006
R00232,O00232,P0125,2025-03-08,Wrong Item,8,S006
R00233,O00233,P0268,2025-04-03,Defective,2,S037
R00234,O00234,P0131,2025-04-14,Changed Mind,4,S011
R00235,O00235,P0237,2025-04-08,Defective,4,S047
R00236,O00236,P0018,2025-04-18,Expired,8,S010
R00237,O00237,P0040,2025-04-25,Damaged,3,S035
R00238,O00238,P0021,2025-05-01,Expired,3,S045
R00239,O00239,P0399,2025-03-22,Wrong Item,2,S033
R00240,O00240,P0225,2025-04-24,Expired,1,S025
R00241,O00241,P0355,2025-03-27,Defective,8,S014
R00242,O00242,P0282,2025-04-02,Expired,9,S038
R00243,O00243,P0008,2025-02-09,Defective,9,S029
R00244,O00244,P0100,2025-03-12,Wrong Item,8,S050
R00245,O00245,P0240,2025-04-21,Expired,5,S049
R00246,O00246,P0478,2025-02-18,Damaged,1,S014
R00247,O00247,P0087,2025-02-25,Damaged,9,S048
R00248,O00248,P0298,2025-03-03,Damaged,6,S049
R00249,O00249,P0428,2025-03-14,Expired,7,S029
R00250,O00250,P0014,2025-03-04,Expired,8,S005
R00251,O00251,P0334,2025-04-22,Expired,5,S030
R00252,O00252,P0002,2025-02-27,Defective,6,S009
R00253,O00253,P0375,2025-04-28,Wrong Item,7,S032
R00254,O00254,P0293,2025-03-11,Damaged,7,S004
R00255,O00255,P0325,2025-04-18,Defective,2,S037
R00256,O00256,P0422,2025-03-16,Damaged,1,S045
R00257,O00257,P0493,2025-04-10,Defective,8,S040
R00258,O00258,P0041,2025-02-06,Expired,5,S001
R00259,O00259,P0318,2025-04-28,Damaged,2,S044
R00260,O00260,P0316,2025-02-22,Expired,3,S023
R00261,O00261,P0381,2025-02-08,Damaged,6,S025
R00262,O00262,P0111,2025-04-29,Changed Mind,6,S030
R00263,O00263,P0014,2025-02-05,Defective,8,S005
R00264,O00264,P0231,2025-02-04,Changed Mind,5,S018
R00265,O00265,P0473,2025-02-24,Defective,5,S049
R00266,O00266,P0084,2025-04-18,Wrong Item,7,S030
R00267,O00267,P0130,2025-03-29,Damaged,5,S048
R00268,O00268,P0231,2025-02-23,Wrong Item,9,S018
R00269,O00269,P0326,2025-03-16,Wrong Item,6,S009
R00270,O00270,P0145,2025-02-12,Defective,7,S003
R00271,O00271,P0379,2025-04-28,Changed Mind,8,S015
R00272,O00272,P0345,2025-03-15,Expired,5,S035
R00273,O00273,P0028,2025-02-25,Defective,4,S049
R00274,O00274,P0066,2025-03-07,Expired,8,S004
R00275,O00275,P0163,2025-03-28,Wrong Item,9,S026
R00276,O00276,P0229,2025-04-29,Expired,1,S041
R00277,O00277,P0261,2025-04-07,Changed Mind,3,S030
R00278,O00278,P0449,2025-04-13,Defective,4,S023
R00279,O00279,P0424,2025-02-16,Changed Mind,7,S015
R00280,O00280,P0460,2025-03-01,Changed Mind,6,S033
R00281,O00281,P0440,2025-03-26,Defective,1,S027
R00282,O00282,P0164,2025-04-26,Changed Mind,4,S046
R00283,O00283,P0301,2025-03-25,Damaged,6,S001
R00284,O00284,P0407,2025-04-24,Damaged,3,S037
R00285,O00285,P0303,2025-03-07,Damaged,2,S014
R00286,O00286,P0287,2025-04-27,Expired,2,S026
R00287,O00287,P0395,2025-02-19,Changed Mind,4,S042
R00288,O00288,P0010,2025-03-27,Defective,1,S046
R00289,O00289,P0195,2025-04-17,Defective,2,S002
R00290,O00290,P0118,2025-02-23,Expired,2,S017
R00291,O00291,P0270,2025-04-05,Defective,4,S024
R00292,O00292,P0080,2025-03-01,Damaged,4,S012
R00293,O00293,P0458,2025-04-04,Changed Mind,1,S018
R00294,O00294,P0093,2025-04-15,Defective,7,S014
R00295,O00295,P0266,2025-04-14,Defective,7,S031
R00296,O00296,P0332,2025-03-24,Wrong Item,1,S038
R00297,O00297,P0350,2025-02-05,Wrong Item,8,S029
R00298,O00298,P0361,2025-03-21,Wrong Item,7,S019
R00299,O00299,P0257,2025-04-02,Changed Mind,7,S048
R00300,O00300,P0133,2025-02-08,Damaged,6,S023
R00301,O00301,P0276,2025-04-01,Damaged,4,S011
R00302,O00302,P0264,2025-02-03,Damaged,8,S009
R00303,O00303,P0171,2025-03-11,Changed Mind,2,S009
R00304,O00304,P0460,2025-03-18,Changed Mind,7,S033
R00305,O00305,P0001,2025-03-13,Wrong Item,3,S017
R00306,O00306,P0313,2025-03-06,Defective,3,S050
R00307,O00307,P0064,2025-04-23,Expired,7,S045
R00308,O00308,P0374,2025-03-15,Expired,3,S014
R00309,O00309,P0468,2025-02-15,Defective,5,S004
R00310,O00310,P0284,2025-02-17,Wrong Item,8,S015
R00311,O00311,P0121,2025-03-20,Defective,4,S020
R00312,O00312,P0107,2025-04-01,Defective,7,S038
R00313,O00313,P0421,2025-03-29,Expired,7,S036
R00314,O00314,P0175,2025-04-25,Wrong Item,2,S047
R00315,O00315,P0485,2025-04-12,Changed Mind,8,S046
R00316,O00316,P0204,2025-03-15,Expired,9,S043
R00317,O00317,P0165,2025-04-17,Changed Mind,6,S034
R00318,O00318,P0305,2025-03-27,Wrong Item,5,S037
R00319,O00319,P0497,2025-03-03,Defective,1,S009
R00320,O00320,P0120,2025-02-24,Damaged,1,S017
R00321,O00321,P0044,2025-04-27,Damaged,9,S006
R00322,O00322,P0312,2025-02-27,Wrong Item,4,S006
R00323,O00323,P0156,2025-03-14,Damaged,1,S022
R00324,O00324,P0367,2025-04-10,Changed Mind,3,S042
R00325,O00325,P0207,2025-03-25,Damaged,6,S018
R00326,O00326,P0390,2025-04-03,Wrong Item,8,S006
R00327,O00327,P0108,2025-03-04,Wrong Item,2,S033
R00328,O00328,P0251,2025-03-18,Changed Mind,8,S037
R00329,O00329,P0445,2025-03-03,Damaged,1,S040
R00330,O00330,P0404,2025-03-17,Damaged,2,S029
R00331,O00331,P0370,2025-03-05,Defective,8,S040
R00332,O00332,P0334,2025-02-25,Expired,7,S030
R00333,O00333,P0130,2025-02-27,Wrong Item,5,S048
R00334,O00334,P0457,2025-03-27,Defective,2,S040
R00335,O00335,P0293,2025-04-22,Wrong Item,9,S004
R00336,O00336,P0020,2025-03-24,Defective,5,S050
R00337,O00337,P0282,2025-03-20,Expired,8,S038
R00338,O00338,P0285,2025-02-19,Defective,4,S011
R00339,O00339,P0001,2025-02-23,Wrong Item,9,S017
R00340,O00340,P0119,2025-03-10,Damaged,7,S010
R00341,O00341,P0035,2025-03-23,Wrong Item,2,S049
R00342,O00342,P0198,2025-02-23,Changed Mind,3,S014
R00343,O00343,P0485,2025-03-16,Changed Mind,2,S046
R00344,O00344,P0245,2025-04-07,Changed Mind,5,S037
R00345,O00345,P0059,2025-03-14,Changed Mind,2,S021
R00346,O00346,P0325,2025-02-03,Expired,5,S037
R00347,O00347,P0161,2025-02-28,Damaged,9,S041
R00348,O00348,P0497,2025-03-10,Damaged,2,S009
R00349,O00349,P0179,2025-02-23,Wrong Item,9,S017
R00350,O00350,P0206,2025-04-02,Defective,7,S045
R00351,O00351,P0012,2025-03-07,Wrong Item,7,S006
R00352,O00352,P0490,2025-03-23,Wrong Item,5,S036
R00353,O00353,P0276,2025-03-04,Wrong Item,8,S011
R00354,O00354,P0181,2025-05-02,Wrong Item,7,S036
R00355,O00355,P0242,2025-03-23,Damaged,6,S019
R00356,O00356,P0216,2025-03-05,Defective,2,S017
R00357,O00357,P0251,2025-03-14,Wrong Item,6,S037
R00358,O00358,P0299,2025-03-01,Damaged,2,S012
R00359,O00359,P0126,2025-02-22,Wrong Item,1,S002
R00360,O00360,P0482,2025-04-07,Changed Mind,9,S011
R00361,O00361,P0217,2025-03-02,Wrong Item,5,S039
R00362,O00362,P0306,2025-04-09,Wrong Item,4,S011
R00363,O00363,P0285,2025-04-28,Expired,8,S011
R00364,O00364,P0185,2025-04-05,Changed Mind,5,S035
R00365,O00365,P0039,2025-02-19,Defective,7,S041
R00366,O00366,P0223,2025-04-09,Wrong Item,3,S013
R00367,O00367,P0184,2025-02-26,Defective,8,S049
R00368,O00368,P0495,2025-03-27,Changed Mind,8,S021
R00369,O00369,P0427,2025-04-11,Wrong Item,3,S005
R00370,O00370,P0178,2025-03-27,Expired,9,S048
R00371,O00371,P0407,2025-05-01,Damaged,8,S037
R00372,O00372,P0428,2025-04-17,Expired,1,S029
R00373,O00373,P0294,2025-02-28,Expired,8,S019
R00374,O00374,P0340,2025-03-06,Damaged,4,S014
R00375,O00375,P0151,2025-03-01,Damaged,6,S021
R00376,O00376,P0384,2025-04-06,Damaged,9,S047
R00377,O00377,P0126,2025-02-13,Wrong Item,5,S002
R00378,O00378,P0301,2025-02-06,Defective,7,S001
R00379,O00379,P0308,2025-02-06,Defective,1,S013
R00380,O00380,P0336,2025-02-28,Damaged,9,S049
R00381,O00381,P0434,2025-04-27,Expired,6,S027
R00382,O00382,P0234,2025-03-31,Changed Mind,4,S047
R00383,O00383,P0380,2025-04-10,Damaged,6,S033
R00384,O00384,P0375,2025-02-11,Expired,5,S032
R00385,O00385,P0008,2025-02-03,Expired,3,S029
R00386,O00386,P0498,2025-02-27,Wrong Item,7,S009
R00387,O00387,P0341,2025-03-17,Wrong Item,3,S011
R00388,O00388,P0129,2025-03-04,Defective,2,S043
R00389,O00389,P0264,2025-04-29,Defective,4,S009
R00390,O00390,P0157,2025-02-24,Changed Mind,7,S021
R00391,O00391,P0352,2025-04-20,Changed Mind,5,S011
R00392,O00392,P0358,2025-02-12,Changed Mind,9,S021
R00393,O00393,P0005,2025-02-07,Changed Mind,7,S013
R00394,O00394,P0495,2025-03-18,Expired,9,S021
R00395,O00395,P0086,2025-03-25,Expired,9,S017
R00396,O00396,P0175,2025-04-04,Defective,2,S047
R00397,O00397,P0290,2025-02-15,Wrong Item,1,S005
R00398,O00398,P0193,2025-04-16,Wrong Item,4,S014
R00399,O00399,P0311,2025-04-28,Damaged,4,S033
R00400,O00400,P0119,2025-02-09,Expired,2,S010
R00401,O00401,P0218,2025-02-24,Changed Mind,3,S022
R00402,O00402,P0427,2025-03-24,Changed Mind,3,S005
R00403,O00403,P0458,2025-03-11,Damaged,5,S018
R00404,O00404,P0414,2025-03-27,Wrong Item,1,S005
R00405,O00405,P0114,2025-03-29,Changed Mind,9,S005
R00406,O00406,P0466,2025-04-12,Wrong Item,8,S036
R00407,O00407,P0145,2025-03-08,Damaged,8,S003
R00408,O00408,P0026,2025-04-24,Wrong Item,3,S032
R00409,O00409,P0136,2025-02-28,Wrong Item,2,S011
R00410,O00410,P0303,2025-03-26,Wrong Item,1,S014
R00411,O00411,P0232,2025-03-12,Changed Mind,6,S047
R00412,O00412,P0369,2025-03-25,Defective,1,S018
R00413,O00413,P0076,2025-02-07,Expired,5,S026
R00414,O00414,P0475,2025-04-29,Wrong Item,9,S031
R00415,O00415,P0328,2025-02-10,Wrong Item,9,S009
R00416,O00416,P0345,2025-04-11,Wrong Item,4,S035
R00417,O00417,P0302,2025-03-30,Defective,7,S026
R00418,O00418,P0452,2025-02-25,Damaged,7,S046
R00419,O00419,P0289,2025-02-09,Changed Mind,4,S044
R00420,O00420,P0001,2025-02-23,Defective,5,S017
R00421,O00421,P0147,2025-03-23,Wrong Item,9,S029
R00422,O00422,P0287,2025-02-16,Defective,7,S026
R00423,O00423,P0464,2025-03-10,Defective,7,S012
R00424,O00424,P0142,2025-04-05,Defective,7,S025
R00425,O00425,P0053,2025-03-16,Damaged,9,S037
R00426,O00426,P0304,2025-02-04,Expired,5,S038
R00427,O00427,P0069,2025-02-27,Changed Mind,6,S040
R00428,O00428,P0361,2025-02-27,Damaged,3,S019
R00429,O00429,P0090,2025-04-20,Damaged,1,S015
R00430,O00430,P0446,2025-02-08,Expired,2,S038
R00431,O00431,P0220,2025-02-23,Damaged,8,S044
R00432,O00432,P0450,2025-02-25,Defective,1,S047
R00433,O00433,P0498,2025-04-14,Defective,7,S009
R00434,O00434,P0192,2025-03-27,Wrong Item,5,S023
R00435,O00435,P0454,2025-04-15,Damaged,6,S012
R00436,O00436,P0063,2025-02-19,Wrong Item,8,S001
R00437,O00437,P0073,2025-02-12,Changed Mind,4,S031
R00438,O00438,P0161,2025-02-22,Defective,6,S041
R00439,O00439,P0169,2025-02-15,Changed Mind,3,S045
R00440,O00440,P0089,2025-02-25,Expired,7,S023
R00441,O00441,P0176,2025-02-14,Defective,2,S030
R00442,O00442,P0269,2025-02-07,Changed Mind,8,S036
R00443,O00443,P0073,2025-04-14,Expired,7,S031
R00444,O00444,P0245,2025-03-27,Changed Mind,8,S037
R00445,O00445,P0077,2025-04-17,Expired,2,S034
R00446,O00446,P0159,2025-04-25,Expired,3,S001
R00447,O00447,P0489,2025-03-13,Defective,4,S046
R00448,O00448,P0459,2025-03-16,Wrong Item,9,S025
R00449,O00449,P0324,2025-03-01,Expired,5,S001
R00450,O00450,P0098,2025-03-10,Expired,6,S034
R00451,O00451,P0381,2025-02-26,Defective,1,S025
R00452,O00452,P0102,2025-03-22,Wrong Item,4,S018
R00453,O00453,P0494,2025-03-13,Damaged,4,S015
R00454,O00454,P0132,2025-03-27,Damaged,8,S047
R00455,O00455,P0102,2025-04-23,Wrong Item,8,S018
R00456,O00456,P0019,2025-04-09,Changed Mind,6,S030
R00457,O00457,P0454,2025-03-28,Defective,8,S012
R00458,O00458,P0482,2025-02-04,Wrong Item,9,S011
R00459,O00459,P0082,2025-02-22,Damaged,5,S044
R00460,O00460,P0397,2025-04-03,Expired,1,S047
R00461,O00461,P0489,2025-04-20,Damaged,1,S046
R00462,O00462,P0279,2025-03-26,Expired,2,S006
R00463,O00463,P0339,2025-02-03,Defective,2,S050
R00464,O00464,P0365,2025-04-11,Expired,5,S025
R00465,O00465,P0331,2025-04-16,Wrong Item,7,S024
R00466,O00466,P0129,2025-03-25,Expired,7,S043
R00467,O00467,P0344,2025-04-11,Changed Mind,4,S012
R00468,O00468,P0310,2025-02-17,Wrong Item,4,S003
R00469,O00469,P0455,2025-03-20,Defective,3,S026
R00470,O00470,P0089,2025-03-13,Wrong Item,2,S023
R00471,O00471,P0213,2025-02-27,Changed Mind,3,S028
R00472,O00472,P0143,2025-05-02,Defective,8,S003
R00473,O00473,P0065,2025-03-13,Damaged,1,S013
R00474,O00474,P0076,2025-04-16,Changed Mind,4,S026
